sentiment,text,sentiment_label
0,agree the poor in india are treated badly their poors seek a living in singapore and are treated like citizens they are given free medical treatment given food daily sim cards to call home to tell their family that they are fine if covid 19 case treated foc in hospitals,sad
1,if only i could have spent the with this cutie vc sakshis i n g h coast crossing republik,joy
1,will nature conservation remain a priority in post corona bangladesh the daily star,joy
0,coronavirus disappearing in italy show this to intellectuals who say lockdowns do not work,sad
0,uk records lowest daily virus death toll since start of lockdown govt,sad
2,joe bidens coronavirus web address lands on a donation page for his campaign he is profiting from fear demopos,fear
0,respected sir in our telangana all private teachers and lecturers are in horrible situations due to covid 19 and mainly private management chaithanya nd narayana bcaz they told to all facultys like no work no pay so pls take the action nd save their lifes,sad
2,so is also 20 times more lethal than influenza think about that,fear
0,thull is passing the most dangerous and ultra hazardous situation in its history 80 population of thul town and surrounding have been striked by corona virus cmhealth m sindh to take notice we plead the govt to pay attention to thul retweet share,sad
0,thull is passing the most dangerous and ultra hazardous situation in its history 80 population of thul town and surrounding have been striked by corona virus cmhealth m sindh to take notice we plead the govt to pay attention to thul retweetshare,sad
2,coronavirus has a 3 4 mortality rate the flu is 0 1 they are completely different your logic is like saying a bugatti and a peugeot are the same thing because they are both cars,fear
1,is officially free city and the celebration goes on,joy
2,what worries me most these days me and a lot other people is now on the matter id like to say only that the drastic division among ourselves is the only reason why as a species the only smart one someone thinks in the universe mind you 15,fear
0,i do not understand the point of demanding enough time before lockdown italy has suffered because of half hearted attempts and so is us now pm being the highest decision making authority has to take the decision,sad
3,you all know one thing the muslims will not fight us for the toilet paper,anger
0,covid 19 cyclones earthquakes riots still we humans have not learnt a simple lesson to live and let live when we cannot let live then we do not have the right right to live let god destroy this evil world this proved again that not to believe humans loudlycryingface,sad
0,i will fill my heart to your soul during covid 19 break out on the world,sad
3,maybe if i bolt my front door shut coronavirus will stay out,anger
2,may be a solution to corona virus get some of that on you and no one will come around,fear
3,here are 13 claims has made about coronavirus that have already been disputed xmbvwlnwqes twitter,anger
2,phew i was sooo worried with the shortage of tests available for the general public i was worried about our sports celebrities not being properly cared for but thank goodness am i right,fear
1,they will not spread,joy
3,idiot no comparison with obamas response according to ronald klain obama administration tested 1 million people for h1n1 in the first month after the first us diagnosed case the first us case was 50 days ago and you have not event tested 10 000 people yet,anger
2,state governors decide when their schls businesses can reopen not the wh without universal frequent testing we cannot isolate the infected we cannot stop the spread of pls call ur governor asap keep ur community safe usa,fear
1,finally accepts thanks to godi media,joy
1,two weeks ago i celebrated my birthday with a picnic on the beach ten days into lockdown here in goa and this feels like a very long time ago,joy
2,las vegas trip booked fuck the coronavirus,fear
1,good morning twittizens wish you a corona free day,joy
1,how ted ed is helping families students and teachers navigate the covid 19 pandemic via at madurai ndia,joy
3,there is no injections for handle girls do not trust your bfs,anger
2,all sides must stop the carnage and work to protect citizens from conflict and covid19 threat by declaring ceasefire,fear
3,coronavirus countries enforce mass closures to stem spread,anger
3,they are habitual liars and constantly hiding the facts about corona death till just to save its plastic business,anger
3,some idiot is commenting on all city of vancouver posts telling people to sit in a sauna and not worry about can we please get rid of these people spreading harmful propaganda,anger
3,these issues can be exposed later already modi government has done nothing against coronavirus god will determine punish them for they responsibility right now need of togetherness is needed for fight against virus government should use experience of senior leaders of our party,anger
1,d19 alexgabyfan my baby trying to navigate to watch gaby and alex top kids show listen carefully she was trying to tell,joy
1,hardship of lockdown comes with the ease of blessing that allah has brought family member together with my son asim town punjab pakistan,joy
